ticketNo,lotNo,validity,validTill,details,ticketFor,cost
031000127009759075829,mg0206,n,,,adult,58
031000127009713372658,mg0206,n,,,adult,58
031000127009703496875,mg0206,n,,,adult,58
031000127009686671048,mg0206,n,,,adult,58
031000127009740652709,mg0206,n,,,adult,58
031000127009727314409,mg0206,n,,,adult,58
031000127009733562822,mg0206,n,,,adult,58
031000127009681143267,mg0206,n,,,adult,58
031000127009700058624,mg0206,n,,,adult,58
031000127009795307645,mg0206,n,,,adult,58
031000127009686511226,mg0206,n,,,adult,58
031000127009684834608,mg0206,n,,,adult,58
031000127009745569165,mg0206,n,,,adult,58
031000127009722615082,mg0206,n,,,adult,58
031000127009771423815,mg0206,n,,,adult,58
031000127009775929892,mg0206,n,,,adult,58
031000127009730202753,mg0206,n,,,adult,58
031000127009734804446,mg0206,n,,,adult,58
031000127009688225755,mg0206,n,,,adult,58
031000127009700780824,mg0206,n,,,adult,58
031000127009797732245,mg0206,n,,,adult,58
031000127009675759698,mg0206,n,,,adult,58
031000127009756479087,mg0206,n,,,adult,58
031000127009775721484,mg0206,n,,,adult,58
031000127009724450562,mg0206,n,,,adult,58
031000127009769655231,mg0206,n,,,adult,58
031000127009753122620,mg0206,n,,,adult,58
031000127009679147705,mg0206,n,,,adult,58
031000127009781206070,mg0206,n,,,adult,58
031000127009703758515,mg0206,n,,,adult,58
